地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
一本木町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
今泉町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
今市町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
印田町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,月,火 金,木2 木4,福井
板垣１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
板垣２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
板垣３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
板垣４丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
板垣５丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
上伏町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
運動公園１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
運動公園２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
馬垣町,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
運動公園３丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
運動公園４丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,月2 月4,福井
羽水１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
羽水２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
羽水３丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火2 火4,福井
江端町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
海老助町,福井,水3,水2 水4,水4,水1,水1:5 7 9 11 1 3,木,火 金,月2 月4,福井
江守中町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
円山１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
江守の里１丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
江守の里２丁目,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
江尻ケ丘町,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
江守中１丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
江守中２丁目,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
円山２丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
大町【（江崎以外）】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
大町【（江崎）】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,木,火 金,木1 木3,福井
大島町【（江端川北）】,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
大島町【（江端川南）】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,木,火 金,月1 月3,福井
大瀬町【５・６字】,福井,水2,水1 水3,水3,水4,水4:5 7 9 11 1 3,火,月 木,金1 金3,福井
大瀬町【５・６字以外】,福井,水1,水2 水4,水4,水3,水3:5 7 9 11 1 3,火,月 木,金1 金3,福井
大手１丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
大手２丁目,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
大手３丁目【（北側）】,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
大手３丁目【（北側以外）】,福井,水4,水1 水3,水3,水2,水2:4 6 8 10 12 2,金,月 木,火1 火3,福井
